profile_id,site_id,latitude,longitude,spatial_confidence,corpus,document_id,title,doi,publication_year,profile_label,author_soil_type_raw,author_profile_formula_raw,soil_classification,classification_system,land_use,notes,evidence_text,evidence_path
profile:coordinate_first_label:903b2895dc018f4155f7,site:springer:10.1134_S1064229318110108:text:raw:ru_abbr:dms:0,64.83333333333333,51.43333333333333,reported,springer,springer:10.1134_S1064229318110108,,10.1134/S1064229318110108,,1-Zh,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""springer:10.1134_S1064229318110108:text:raw:ru_abbr:dms:0"", ""label_distance_characters"": 230}
c taiga soils devel-     major genetic horizons of the studied pits are briefly oping from intermediate and mafic magmatic rocks            described below (Fig. 2). and their derivatives, including those with some                Pit 1-Zh (64°50′ N, 51°26′ E) was excavated on the admixture of the silicic morainic material.                 top of local rocky cliff on the right bank of the                                                             Pechorskaya Pizhma River at 141 m a.s.l. under the                                                             larch–pine fores",10.1134_S1064229318110108.txt
profile:coordinate_first_label:906d07c92a5f2136bb1f,site:springer:10.1134_S106422931912007X:text:raw:dms:l:1,54.88188888888889,111.00238888888889,reported,springer,springer:10.1134_S106422931912007X,,10.1134/S106422931912007X,,RF-1-4,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""springer:10.1134_S106422931912007X:text:raw:dms:l:1"", ""label_distance_characters"": 208}
rom the mire to the ele- found close to one another; over this place, long bath     vated island along its relatively steep and short western huts have been constructed. They are used by the local     slope. Pit RF-1-4 (54°52′54.8″ N, 111°00′08.6″ E), 5– population for balneological purposes. Water has a         7 m from the eastern end of trench RF-1-8 characterizes strong odor of hydrogen sulfide; the temperature var-      the soil within the elevated and relatively flat part of the ies from 12 to 32–4",10.1134_S106422931912007X.txt
profile:coordinate_first_label:91c35e773ca5ae744f60,site:springer:10.1134_S1064229319020145:text:raw:dms:l:2,51.35944444444445,107.53805555555556,reported,springer,springer:10.1134_S1064229319020145,,10.1134/S1064229319020145,,2T,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""springer:10.1134_S1064229319020145:text:raw:dms:l:2"", ""label_distance_characters"": 206}
10], the studied soil belongs to the     burozems have a sporadic pattern. These soils are subtype of slightly unsaturated brown forest soils.        formed on the interfluves and upper parts of slopes     Pit 2Ts-D-10 (51°21′34.00″ N, 107°32′17.00″ E)         under larch–birch forests with rich herbaceous ground was excavated in the transeluvial position on the          cover. These factors favor the development of pedo- northwestern slope of 3°–4° at 900 m a.s.l. under the      genic alteration (metamorp",10.1134_S1064229319020145.txt
profile:coordinate_first_label:9267cdc6d82281014e7b,site:springer:10.1134_S1064229320050105:text:raw:dms:l:2,65.70277777777778,130.16666666666666,reported,springer,springer:10.1134_S1064229320050105,,10.1134/S1064229320050105,,P-3,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""springer:10.1134_S1064229320050105:text:raw:dms:l:2"", ""label_distance_characters"": 197}
  coarse fragments of hard rock (R). birch–moss larch woodland, a peat–mucky peat lithozem (Cryic Epirockic Histosol) was described in               The lithozems of the mountainous taiga zone are pit P-3 (920 m a.s.l.; 65°42′10″ N, 130°10′00″ E). This        strongly gravelly soils, with a small participation of soil has the following horizonation: O (0–4 cm)–               fine earth of the sandy or sandy loamy texture; the clay T (4–22 cm)–Th (22–35 cm)–R. It is characterized               content",10.1134_S1064229320050105.txt
profile:coordinate_first_label:9510e816d628da3323de,site:springer:10.1134_S1064229325602392:text:raw:dms:l:0,67.22413888888889,65.64544444444445,reported,springer,springer:10.1134_S1064229325602392,,10.1134/S1064229325602392,,2-KPU,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""springer:10.1134_S1064229325602392:text:raw:dms:l:0"", ""label_distance_characters"": 209}
content of position products: there are buried horizons with post-        finely dispersed organic matter, and silty particles fire charcoal and/or humus horizons.                           without films.     Pit 2-KPU (67°13′26.9″ N; 65°38′43.6″ E) is laid               Pit 1-KPU is laid in the inter-sinkhole space 10 m from sinkhole II on a flat surface. The plant             under the dwarf-birch–moss community. The area cover is characterized as herbaceous–dwarf-shrub               between sinkholes",10.1134_S1064229325602392.txt
profile:coordinate_first_label:9b94bdd4b39586d71f42,site:springer:10.1134_S1064229319110036:text:raw:ru_abbr:dms:3,62.13333333333333,130.51666666666668,reported,springer,springer:10.1134_S1064229319110036,,10.1134/S1064229319110036,,4,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""springer:10.1134_S1064229319110036:text:raw:degree_decimal_minutes:3"", ""label_distance_characters"": 272}
 the average annual temperature BCA(35–72 cm); the soil profile is underlain by the           up to –7.5°C was observed. Thus, over the past 84 years, low-ice permafrost.                                           the average annual air temperature increased by 2.8°С,     Plot 4 (62°08′ N, 130°31′ E, 100 m south of               which is a significant value (Fig. 2). This increase in Ulakhan Sykhkhan alas). Flat surface complicated by           mainly due to the rise of temperatures in the winter the polygonal nanotopography. The diameter of the             and spring seasons (from November to May). The rise polygons is up to 70 cm, their height is 10–15 cm, and        of",10.1134_S1064229319110036.txt
profile:coordinate_first_label:9d840560876d8b8ac91a,site:springer:10.1134_S1064229322090083:text:raw:dms:l:0,56.971269444444445,82.60225277777778,reported,springer,springer:10.1134_S1064229322090083,,10.1134/S1064229322090083,,2,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""springer:10.1134_S1064229322090083:text:raw:dms:l:0"", ""label_distance_characters"": 96}
 out at points 2, 3, and 5. ecosystems, have a completely organic profile down to               Point 2 (P2) is located in the accumulative part of the mineral rock and, according to [29], carbon                 the LP (56°58′16.57″ N, 82°36′08.11″ E) at the margin exchange in them occurs between the liquid phase, gas           of the upland swamp. The vegetation at this point is phase, and peat, which predetermines their mutual               represented by the dwarf shrub–herb–sphagnum phy- influence. Th",10.1134_S1064229322090083.txt
profile:coordinate_first_label:9e331f4a8fb7b88940cc,site:springer:10.1134_S1064229319110036:text:raw:ru_abbr:dms:1,62.11666666666667,130.3,reported,springer,springer:10.1134_S1064229319110036,,10.1134/S1064229319110036,,2,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""springer:10.1134_S1064229319110036:text:raw:degree_decimal_minutes:1"", ""label_distance_characters"": 272}
ng under the                         BHF(27–53 cm)–C(53–150 cm). The soil is under- conditions of global climate change on the change in                        lain by the low-ice permafrost. the water content in permafrost areas owing to the                              Plot 2 (62°07′ N, 130°18′ E). Flat surface under the release of water stored in the frozen state in the protec-                  ledum–bilberry–herbaceous larch (Larix gmelinii L.) tive layer.                                                                 with some admixture of birch (Betula platyphylla Suk-                                                                              EURASIAN SOIL SCIEN",10.1134_S1064229319110036.txt
profile:coordinate_first_label:a0d62127ef75404d93c4,site:springer:10.1134_S1064229321020150:text:raw:ru_abbr:dms:2,65.38333333333334,50.78333333333333,reported,springer,springer:10.1134_S1064229321020150,,10.1134/S1064229321020150,,57,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""springer:10.1134_S1064229321020150:text:raw:ru_abbr:dms:2"", ""label_distance_characters"": 136}
    0.8        88.4        1.52        5.24       0.35        0.86        1.07    –      7                                              Pit 57. Iron–humus-illuvial podzol (on glaciofluvial deposits underlain by moraine loam), Albic Podzol, 65°23′ N, 50°47′ E                         Е              3–14             4.2          3.2        0.91        1.3        90.3        1.30        4.09       0.24        0.47        0.80    –      6                                                              Pit 25. Gleyic peaty podzol (on glaciofluvial deposits), Gleyic Histic Podzol, ",10.1134_S1064229321020150.txt
profile:coordinate_first_label:a19756c8ab7a608dd15b,site:springer:10.1134_S1064229321020150:text:raw:ru_abbr:dms:9,65.38333333333334,50.8,reported,springer,springer:10.1134_S1064229321020150,,10.1134/S1064229321020150,,56,,,,,,Explicit profile/pit label within 180 characters of an author-reported coordinate.,"{""spatial_linkage"": ""coordinate_local_explicit_profile_label"", ""coordinate_candidate_id"": ""springer:10.1134_S1064229321020150:text:raw:degree_decimal_minutes:9"", ""label_distance_characters"": 175}
           4.2          3.2        0.47        1.0        85.2        2.56        6.78       0.304       0.87        1.19    –     13                                          Pit 56. Humus-impregnated peaty carbolithozem (on eluvium of limestone), Histic Calcaric Leptosol Humic, 65°23′ N, 50°48′ E     Vol. 54                         ELg           14–25             4.1          3.1        0.87        0.6        87.4        1.30        6.55       0.48        0.58        1.39    –      4                                             Pit 17. Gleyic permafrost-affected gray-humus soil (on marine sediments), Reductaquic Umbric Cryosol, 68°21′ N, 59°28′ E     No. 2              ",10.1134_S1064229321020150.txt
