doi,publication_year,title,journal,authors,metadata_source
10.1134/S1064229323600379,2023,Respiratory Activity and Biodiversity of Microbiomes in Podzolic Soils of Post-Pyrogenic Spruce Forests in the Krasnoyarsk Krai and Komi Republic,Eurasian Soil Science,Grodnitskaya I. D.; Pashkeeva O. E.; Startsev V. V.; Dymov A. A.,Crossref REST API
10.1134/S1064229323600537,2023,Magnesium in Saline Gypsum-Bearing Soils of Russia,Eurasian Soil Science,Chernousenko G. I.; Khitrov N. B.; Pankova E. I.,Crossref REST API
10.1134/S1064229323600562,2023,Comparison of Areal and Profile Distribution of Magnetic Susceptibility in Steppe Soils of the Russian Plain,Eurasian Soil Science,Malyshev V. V.; Alekseev A. O.,Crossref REST API
10.1134/S1064229323600859,2023,"Cyanobacteria in Hypolithic Horizons of Soils in the Larsemann Hills Oasis, East Antarctica",Eurasian Soil Science,Velichko N. V.; Rabochaya D. E.; Dolgikh A. V.; Mergelov N. S.,Crossref REST API
10.1134/S1064229323601130,2023,Temperature Sensitivity of Soil Respiration in Grasslands in Temperate Continental Climate Zone: Analysis of 25-Year-Long Monitoring Data,Eurasian Soil Science,Kurganova I. N.; Lopes de Gerenyu V. O.; Myakshina T. N.; Sapronov D. V.; Khoroshaev D. A.; Ableeva V. A.,Crossref REST API
10.1134/S106422932360121X,2023,Influence of Meso- and Microclimatic Conditions on the CO2 Emission from Soils of the Urban Green Infrastructure of the Moscow Metropolis,Eurasian Soil Science,Vasenev V. I.; Varentsov M. I.; Sarzhanov D. A.; Makhinya K. I.; Gosse D. D.; Petrov D. G.; Dolgikh A. V.,Crossref REST API
10.1134/S1064229323601221,2023,Simulation Modeling of Forest Soil Respiration: Case Study of Entic Carbic Podzol under Coniferous–Broadleaved Forest in the South of Moscow Oblast,Eurasian Soil Science,Priputina I. V.; Frolov P. V.; Shanin V. N.; Bykhovets S. S.; Kurganova I. N.; Lopes de Gerenyu V. O.; Sapronov D. V.; Zubkova E. V.; Myakshina T. N.; Khoroshaev D. A.,Crossref REST API
10.1134/S1064229323601257,2023,Carbon Dioxide Emission from Soils of the Ecotone Zone in the North of Western Siberia,Eurasian Soil Science,Goncharova O. Yu.; Matyshak G. V.; Timofeeva M. V.; Chuvanov S. V.; Tarkhov M. O.; Isaeva A. V.,Crossref REST API
10.1134/S1064229323601282,2023,Short-Term Dynamics of CO2 Emission and Carbon Content in Urban Soil Constructions in the Steppe Zone,Eurasian Soil Science,Gorbov S. N.; Vasenev V. I.; Minaeva E. N.; Tagiverdiev S. S.; Skripnikov P. N.; Bezuglova O. S.,Crossref REST API
10.1134/S1064229323601439,2023,Salinization and Solonetzization of Soils in River Valleys of the Kulunda Plain,Eurasian Soil Science,Elizarov N. V.; Popov V. V.; Rybkina I. D.; Smolentsev B. A.,Crossref REST API
10.1134/S1064229323601579,2023,Ecological-Geochemical Role of Magnetic Fraction of Soils of the Middle Cis-Urals,Eurasian Soil Science,Gorokhova S. M.; Vasiliev A. A.; Shchurenko N. M.,Crossref REST API
10.1134/S1064229323601749,2023,Analysis of CO2 Emission from Urban Soils of the Kola Peninsula (European Arctic),Eurasian Soil Science,Korneykova M. V.; Vasenev V. I.; Saltan N. V.; Slukovskaya M. V.; Soshina A. S.; Zavodskikh M. S.; Sotnikova Yu. L.; Dolgikh A. V.,Crossref REST API
10.1134/S106422932360183X,2023,Investigation of Uncertainty in Organic Carbon Stock Estimates on a Field Scale,Eurasian Soil Science,Samsonova V. P.; Meshalkina J. L.; Dobrovolskaya V. A.; Kondrashkina M. I.; Dyadkina S. E.; Filippova O. I.; Krotov D. G.; Morozova T. M.; Krasilnikov P. V.,Crossref REST API
10.1134/S1064229323602147,2023,"Soils of Lacustrine Depressions of Pulsing Chloride Lakes in Endorheic Areas of Central Asia: Morphology, Physicochemical, and Geochemical Features",Eurasian Soil Science,Ubugunova V. I.; Ubugunov L. L.; Zhambalova A. D.; Ayushina T. A.; Ubugunov V. L.,Crossref REST API
10.1134/S1064229323602445,2024,"Soils of Chalk Polygons of the Sub-Ural Plateau: Morphology, Properties, and Classification",Eurasian Soil Science,Polyakov D. G.; Kovda I. V.; Ryabukha A. G.,Crossref REST API
10.1134/S1064229323602469,2024,"Middle Devonian Acid Sulfate Paleosol: The First Finding in the Central Devonian Field (Voronezh High, Southern Russia)",Eurasian Soil Science,Alekseeva T. V.; Alekseev A. O.,Crossref REST API
10.1134/S1064229323602470,2024,Late Pleistocene Paleosols in the North of Western Siberia: Paleorecords of Natural Environment and a Component of the Modern Soil Cover,Eurasian Soil Science,Sedov S. N.; Sheinkman V. S.,Crossref REST API
10.1134/S1064229323602561,2024,Soil and Ecological Features of the Neo-Eneolithic Algai Settlement in the Lower Volga Region,Eurasian Soil Science,Ovchinnikov A. Yu.; Zanina O. G.; Lopatina D. A.; Vybornov A. A.; Makshanov A. M.,Crossref REST API
10.1134/S1064229323602755,2024,Carbon Dioxide in Soil and Surface Waters in the North of Western Siberia: Methodological Approach and Quantitative Characteristics,Eurasian Soil Science,Goncharova O. Yu.; Timofeeva M. V.; Matyshak G. V.; Isaeva A. V.,Crossref REST API
10.1134/S1064229323603049,2024,Carbon Accumulation in Peat Soils of Floodplain Mires in the Northeast of the Central Russian Upland,Eurasian Soil Science,Volkova E. M.; Leonova O. A.; Golovchenko A. V.,Crossref REST API
10.1134/S1064229323603657,2024,"Soils of Tundra and Sub-Tundra Larch Open Woodland of Tit-Ary Island (the Lena Delta): Genesis, Properties, and Distribution Patterns",Eurasian Soil Science,Okoneshnikova M. V.; Lessovaia S. N.; Ivanova A. Z.; Desyatkin R. V.,Crossref REST API
10.1134/S1064229323603700,2024,"Influence of Clear Felling on СО2 Emission from Surface of Podzolic Soil of Coniferous–Deciduous Forest (Middle Taiga, Komi Republic)",Eurasian Soil Science,Osipov A. F.; Startsev V. V.; Dymov A. A.,Crossref REST API
10.1134/S1064229323700266,2024,Factors of Microbial Biomass Variation in Recent and Buried Soils of the Steppe Zone,Eurasian Soil Science,Khomutova T. E.; Chernysheva E. V.; Kashirskaya N. N.; Dushchanova K. S.; Petrosyan A. A.; Eltsov M. V.; Borisov A. V.,Crossref REST API
10.1134/S1064229324600167,2024,Effect of Different Synthetic Resins on Soil Nano- and Microstructure,Eurasian Soil Science,Musaelyan R. E.; Abrosimov K. N.; Romanenko K. A.,Crossref REST API
10.1134/S1064229324600209,2024,Freezing of Chalk Cryomorphic Soil Complexes of the Orenburg Oblast: Temperature Regime and Cryogenic Processes in Soil Profile,Eurasian Soil Science,Polyakov D. G.; Ryabukha A. G.; Arkhangelskaya T. A.; Kovda I. V.,Crossref REST API
10.1134/S106422932460074X,2024,Atmospheric Solid Fallouts as a Source of Hydrophobicity of Urban Soils and Material for Their Formation,Eurasian Soil Science,Goncharov N. V.; Prokof’eva T. V.; Potapov D. I.; Fedotov G. N.,Crossref REST API
10.1134/S1064229324601653,2024,Seasonal and Multi-Year Dynamics of Soil Moisture in Gleyic Chernozems (the Oka–Don Lowland),Eurasian Soil Science,Smirnova M. A.; Bardashov D. R.; Fil P. P.; Lozbenev N. I.; Dobrokhotov A. V.,Crossref REST API
10.1134/S1064229324602026,2024,Model Estimates of Changes in Soil Organic Matter Stocks in Forested Areas of European Russia under Different Forest Management Regimes,Eurasian Soil Science,Priputina I. V.; Shanin V. N.; Frolov P. V.; Chumachenko S. I.; Tebenkova D. N.,Crossref REST API
10.1134/S1064229324602099,2024,"Soils on Carbonate Rocks of the Polar Urals: Genesis, Properties, and Classification",Eurasian Soil Science,Zhangurov E. V.; Lebedeva M. P.; Shamrikova E. V.; Korolev M. A.; Panyukov A. N.,Crossref REST API
10.1134/S1064229324602105,2024,Assessment of Spatial Heterogeneity of Soil Properties upon Monitoring Carbon Stocks in Forest Ecosystems,Eurasian Soil Science,Kiseleva V. V.; Karminov V. N.; Chumachenko S. I.; Agol’tsov A. Yu.; Mitrofanov E. M.,Crossref REST API
10.1134/S1064229324602282,2024,Soils on Red-Colored Calcareous Substrate on the Lena-Angara Plateau: Factor Limits of Clay Differentiation,Eurasian Soil Science,Lessovaia S. N.; Goryachkin S. V.; Sokolov A. A.; Romanis T. V.; Konyushkov D. E.; Lopatovskaya O. G.,Crossref REST API
10.1134/S1064229324603445,2025,"Influence of the Moisture Content of Soddy-Podzolic Soil on the Contents of Mobile Forms of Iron, Manganese, Nickel, Copper, Cobalt, and Zinc",Eurasian Soil Science,Kotelnikova A. D.; Borisochkina T. I.; Kolchanova K. A.; Shishkin M. A.; Matveeva N. V.; Kolobova N. A.; Mitrofanov Yu. I.; Pervushina N. K.,Crossref REST API
10.1134/S1064229324603810,2025,Transformation of Physicochemical Properties and CO2 Emission from Urban Soils in the Mountainous Landscape of Sochi City,Eurasian Soil Science,Rogozhina E. V.; Zakharikhina L. V.,Crossref REST API
10.1134/S1064229324603913,2025,Long-Term Dynamics of Carbon Emission in Artificial Soils under Urban Lawns in the Steppe Zone Conditions,Eurasian Soil Science,Gorbov S. N.; Terekhov I. V.; Bezuglova O. S.; Tagiverdiev S. S.; Skripnikov P. N.; Nosov G. N.; Vasenev V. I.,Crossref REST API
10.1134/S1064229324603950,2025,Effect of Grazing on Biological Activity and the Ratio of Fractions of Mineralized Organic Matter of Soils on Carbonate Rocks in the Subalpine Zone of the Eastern Caucasus,Eurasian Soil Science,Pinskoy V. N.; Shaev I. A.; Kutuzova E. A.; Chernysheva E. V.; Kuznetsova T. V.; Idrisov I. A.; Borisov A. V.,Crossref REST API
10.1134/S106422932460427X,2025,Influence of Direct Seeding Technology on the CO2 Emission by Chernozem-Like Soils of the Amur Region,Eurasian Soil Science,Ivanov A. V.; Getmanskii V. V.; Tikhonchuk P. V.; Selikhova O. A.; Danilov A. V.; Piletskaya O. A.,Crossref REST API
10.1134/S1064229324604529,2025,"Stratified Soil on Dictyonema Shales in the Area of the Last Cover Glaciation (Southern Ladoga Region): Properties, Paleogeographic Interpretation, and Radiocarbon Dating Issues",Eurasian Soil Science,Rusakov A. V.; Nikonov A. A.; Sedov S. N.; Savelieva L. A.; Popov A. I.; Zazovskaya E. P.,Crossref REST API
10.1134/S1064229324604578,2025,Microbial Communities of Soil Macrofauna as a Source of Ethylene,Eurasian Soil Science,Yakushev A. V.; Pozdnyakov L. A.; Kudryashova E. B.; Prisyazhnaya N. V.; Stepanov A. L.,Crossref REST API
10.1134/S1064229324700315,2024,Changes in the Composition of Upper Soil Horizons and Lysimetric Waters in the First Years after a Surface Fire in a Lichen Pine Forest in the Komi Republic,Eurasian Soil Science,Payusova I. V.; Gabov D. N.; Gruzdev I. V.; Dymov A. A.,Crossref REST API
10.1134/S1064229325600113,2025,Specific Isotopic (δ13C) and Micromorphological Features of the Organic Matter in Soils of the Mondy Basin (Eastern Sayan Mountains),Eurasian Soil Science,Golubtsov V. A.; Cherkashina A. A.; Bronnikova M. A.,Crossref REST API
10.1134/S1064229325600447,2025,"Desert Varnish—a “Microsoil” of the Arid Environments: Origin, Geographical Variability, and Paleoecological Significance (Review)",Eurasian Soil Science,Martínez-Pabello P. U.; Mergelov N. S.; Bronnikova M. A.; Sedov S. N.; Lebedeva M. P.; Golovanov D. L.; Trejo-Martin P.,Crossref REST API
10.1134/S1064229325600459,2025,Pre-Eifelian Microbial Pedogenesis on Granite,Eurasian Soil Science,Alekseeva T. V.; Malyshev V. V.; Alekseev A. O.,Crossref REST API
10.1134/S1064229325600472,2025,Physiological Characteristics of Culturable Prokaryotic Communities of Fumarole Fields in the Permafrost Zone,Eurasian Soil Science,Kasatkina A. N.; Abramov A. A.; Belov A. A.,Crossref REST API
10.1134/S1064229325600800,2025,Biological Activity of Soils of Solonetzic Complexes,Eurasian Soil Science,Khomutova T. E.; Chernysheva E. V.; Kashirskaya N. N.; Borisov A. V.,Crossref REST API
10.1134/S1064229325601106,2025,Assessment of Lithium Ecotoxicity in Soils with Contrasting Properties,Eurasian Soil Science,Ruseva A. S.; Evstegneeva N. A.; Kolesnikov S. I.; Timoshenko A. N.; Minnikova T. V.; Kazeev K. Sh.,Crossref REST API
10.1134/S1064229325601143,2025,Modeling of Long-Term Carbon Sequestration by Arable Chernozem: Integrated Effects of Fertilization and Tillage,Eurasian Soil Science,Husniev I. T.; Sitnikov V. N.; Esaulko A. N.; Yakimenko O. S.; Romanenkov V. A.,Crossref REST API
10.1134/S1064229325601581,2025,Assessing the Efficacy of Biochar in Remediation of Polymetallic Highly Contaminated Soils with Different Levels of Humus Content,Eurasian Soil Science,Terekhova V. A.; Kulachkova S. A.; Gorlenko M. V.,Crossref REST API
10.1134/S1064229325601647,2026,"Genesis, Properties, and Mineralogical Features of Soils of the Lena Plateau, Yakutia",Eurasian Soil Science,Desyatkin R. V.; Lessovaia S. N.; Okoneshnikova M. V.; Ivanova A. Z.,Crossref REST API
10.1134/S1064229325601970,2026,"Influence of Drainage, Fertilizers, and Agricultural Crops on the Biological Activity of Cultivated Soddy-Podzolic Soils of the Tver Oblast of Russia",Eurasian Soil Science,Kutovaya O. V.; Nikitin D. A.; Ivanova E. A.; Semenov M. V.; Tkhakakhova A. K.; Ksenofontova N. A.; Danilova-Danilyan E. M.,Crossref REST API
10.1134/S106422932560201X,2026,Carbon Dioxide Emission and Organic Carbon Stocks of Tundra Soils on the Coast of the Chosha Bay of the Barents Sea,Eurasian Soil Science,Bobrik A. A.; Kazhukalo G. A.; Bagdasarov I. E.; Prokopyeva K. O.; Sirodzheva L. F.; Krasilnikov P. V.,Crossref REST API
10.1134/S1064229325602227,2025,Impact of Thermal Denudation on the Formation of Synlithogenic Soils and Development of Ecosystems in the Permafrost Zone,Eurasian Soil Science,Ginzburg A. P.; Lupachev A. V.,Crossref REST API
10.1134/S1064229325602239,2026,Influence of Anthropogenic Activity in the Bronze Age on Chemical and Biological Properties of Soils in the Steppe Zone of the Crimean Peninsula,Eurasian Soil Science,Chernysheva E. V.; Potapova A. V.; Smekalova T. N.; Borisov A. V.,Crossref REST API
10.1134/S1064229325602392,2025,"Soils of Karst Sinkholes of the Polar Urals: Morphology, Genesis, and Classification",Eurasian Soil Science,Zhangurov E. V.; Lebedeva M. P.; Shamrikova E. V.; Korolev M. A.; Panyukov A. N.,Crossref REST API
10.1134/S1064229325602409,2025,"Role of Cryogenic and Cryopedogenic Processes of the Past in the Formation of Al–Fe-humus Soils in the Nadym–Pur Interfluve, North of Western Siberia",Eurasian Soil Science,Sheinkman V. S.; Sedov S. N.; Ovchinnikov A. Yu.; Makshanov A. M.,Crossref REST API
10.1134/S1064229325602434,2025,Postpyrogenic Changes in the Properties of Organic Matter in Cryosols of West Siberian Forest-Tundra,Eurasian Soil Science,Buchkina N. P.; Yurtaev A. A.; Shvartseva O. S.; Mukhina D. P.; Balashov E. V.,Crossref REST API
10.1134/S1064229325602495,2025,Cryogenic Micropatterns of the Soil Cover in the Typical Tundra Subzone of European Russia,Eurasian Soil Science,Shmatova A. G.; Goryachkin S. V.,Crossref REST API
10.1134/S106422932560304X,2026,Topological Analysis of the Dynamics of Soil Pore Space Structure: The Betti Numbers as an Indicator of Physical Degradation,Eurasian Soil Science,Kalnin T. G.; Shein E. V.; Timoshenko V. V.; Chernyavskiy M. V.; Ivonin D. A.; Dembovetsky A. V.,Crossref REST API
10.1134/S1064229325603075,2026,Assessment of the Microstructural Stability of Genetic Horizons of a Typical Podzolic Soil Using Oscillatory Amplitude Sweep Test,Eurasian Soil Science,Kholopov Yu. V.; Klyueva V. V.; Lapteva E. M.,Crossref REST API
10.1134/S1064229325603129,2026,"Analysis of Changes in the Chemical Composition of Lysimetric Water in the First Years after Logging (Middle Taiga, Komi Republic)",Eurasian Soil Science,Startsev V. V.; Gorbach N. M.; Severgina D. A.; Payusova I. V.; Dymov A. A.,Crossref REST API
10.1134/S1064229325603841,2026,Carbon Pools in Forest and Meadow Postagrogenic Ecosystems on Albic Endocalcaric Retisols of Southern Taiga,Eurasian Soil Science,Gichan D. V.; Tebenkova D. N.; Ivanova V. N.; Shevchenko N. E.; Ruchinskaya E. V.; Kolycheva A. A.; Nikitina A. D.; Korotkova N. V.; Kataev A. D.; Demidov D. V.; Sharapova N. R.,Crossref REST API
10.1134/S1064229325603853,2026,Assessment of Scandium Ecotoxicity Based on the Dynamics of Changes in Biological Parameters of Haplic Chernozem,Eurasian Soil Science,Tsepina N.; Kolesnikov S.; Minnikova T.; Timoshenko A.; Kuzina A.; Evstegneeva N.; Kazeev K.; Denisova T.; Minkina T.; Tarigholizadeh S.,Crossref REST API
10.1134/S1064229325604378,2026,Dynamics of Distribution of Carbon Stocks in Soils and Structure of Plant Communities under Natural Reforestation on Fallow Lands,Eurasian Soil Science,Priputina I. V.; Frolov P. V.; Shanin V. N.; Kurganova I. N.,Crossref REST API
