zone,documents,observations,properties,precise_pct
Арктика и субарктика (>66°),73,7968,69,48.0
Северная тайга (60–66°),89,7722,74,30.0
Средняя тайга (56–60°),198,15293,85,13.0
Южная тайга и лесостепь (52–56°),282,25983,87,13.0
Степь (48–52°),113,6625,73,27.0
Сухая степь и предгорья (<48°),128,9739,79,18.0
