property_id,property,category,observations,documents,header_trusted_pct,value_plausible_pct,unit_proven_pct,depth_pct,spatial_pct
hydrogen_carbon_ratio,H:C ratio,organic,164,22,100.0,100.0,0.0,4.3,88.4
total_dissolved_solids,total dissolved solids,salinity,142,12,100.0,100.0,4.2,59.2,93.0
sodium_adsorption_ratio,sodium adsorption ratio,salinity,139,9,100.0,100.0,0.0,7.9,20.9
aggregate_stability,aggregate stability,physical,125,8,100.0,100.0,33.6,6.4,87.2
dehydrogenase_activity,dehydrogenase activity,biological,121,12,100.0,100.0,0.0,35.5,86.8
oxygen_carbon_ratio,O:C ratio,organic,112,19,100.0,97.3,0.0,6.2,86.6
molybdenum,molybdenum,microelement,106,11,100.0,99.1,0.0,25.5,78.3
carbon_phosphorus_ratio,C:P ratio,organic,96,4,100.0,100.0,0.0,3.1,43.8
saturated_hydraulic_conductivity,saturated hydraulic conductivity,hydrophysical,95,11,100.0,100.0,3.2,51.6,76.8
exchangeable_sodium_percentage,exchangeable sodium percentage,salinity,94,7,100.0,98.9,85.1,66.0,8.5
gravimetric_water_content,gravimetric water content,hydrophysical,86,11,100.0,86.0,57.0,8.1,44.2
redox_potential,redox potential,geochemical,76,9,100.0,100.0,36.8,19.7,50.0
potassium_exchangeable,exchangeable potassium,exchange,70,5,100.0,100.0,0.0,4.3,22.9
sodium,sodium,exchange,62,4,100.0,100.0,0.0,48.4,100.0
exchangeable_hydrogen,exchangeable hydrogen,acid_base,60,4,100.0,100.0,0.0,80.0,100.0
nitrate_n,nitrate nitrogen,macronutrient,57,8,100.0,100.0,17.5,1.8,96.5
soil_temperature,soil temperature,environmental,57,9,100.0,100.0,0.0,3.5,66.7
ammonium_n,ammonium nitrogen,macronutrient,54,5,100.0,100.0,0.0,1.9,85.2
penetration_resistance,penetration resistance,physical,45,2,100.0,100.0,0.0,0.0,0.0
exchangeable_magnesium,exchangeable magnesium,exchange,35,2,100.0,100.0,82.9,100.0,100.0
microbial_biomass_carbon,microbial biomass carbon,biological,33,4,100.0,100.0,0.0,18.2,0.0
inorganic_carbon,inorganic carbon,organic,29,5,100.0,100.0,55.2,20.7,100.0
particle_density,particle density,physical,28,5,100.0,100.0,75.0,0.0,21.4
mineral_nitrogen,mineral nitrogen,macronutrient,20,4,100.0,100.0,50.0,40.0,100.0
calcium_ion_activity_paste,calcium ion activity in soil paste,soil_solution,16,1,100.0,100.0,100.0,62.5,100.0
phosphatase_activity,phosphatase activity,biological,11,2,100.0,100.0,0.0,90.9,90.9
total_potassium,total potassium,macronutrient,9,2,100.0,100.0,55.6,0.0,0.0
selenium,selenium,contaminant,6,1,100.0,66.7,0.0,0.0,0.0
aluminium_exchangeable,exchangeable aluminium,exchange,6,1,100.0,100.0,0.0,0.0,100.0
water_holding_capacity,water holding capacity,hydrophysical,3,1,100.0,100.0,0.0,0.0,100.0
microbial_biomass_nitrogen,microbial biomass nitrogen,biological,2,1,100.0,100.0,0.0,0.0,0.0
